     Time |  Peak Mem | File Name                                     
 0m01.75s | 399480 ko | Lib/FMapExt.vo                                
 0m01.67s | 363160 ko | Monad/Kleisli.vo                              
 0m01.65s | 366000 ko | Instance/Coq.vo                               
 0m01.63s | 359888 ko | Instance/Comp.vo                              
 0m01.62s | 400304 ko | Instance/Lambda/Ren.vo                        
 0m01.51s | 365524 ko | Instance/Rel.vo                               
 0m01.47s | 361868 ko | Functor/Structure/Monoidal.vo                 
 0m01.44s | 363448 ko | Structure/Monoidal/Cartesian/Cartesian.vo     
 0m01.43s | 365664 ko | Functor/Structure/Cartesian/Closed.vo         
 0m01.39s | 360828 ko | Instance/Sets/Cartesian/Closed.vo             
 0m01.35s | 364188 ko | Functor/Diagonal.vo                           
 0m01.28s | 386684 ko | Instance/Lambda/Sem.vo                        
 0m01.26s | 359408 ko | Functor/Bifunctor.vo                          
 0m01.23s | 362620 ko | Monad/Transformer.vo                          
 0m01.15s | 362080 ko | Structure/Monoidal/Closed.vo                  
 0m01.14s | 359372 ko | Functor/Product.vo                            
 0m01.14s | 427512 ko | Lib/MapDecide.vo                              
 0m01.10s | 425640 ko | Theory/Coq/Map.vo                             
 0m01.03s | 360028 ko | Construction/Subcategory.vo                   
 0m01.00s | 359740 ko | Instance/Sets/Cocartesian.vo                  
 0m00.96s | 356712 ko | Theory/Morphisms.vo                           
 0m00.91s | 375212 ko | Theory/Coq/Maybe/Proofs.vo                    
 0m00.89s | 387376 ko | Instance/Lambda/Norm.vo                       
 0m00.89s | 360644 ko | Monad/Eilenberg/Moore.vo                      
 0m00.87s | 359540 ko | Construction/Product.vo                       
 0m00.87s | 358240 ko | Construction/Quotient.vo                      
 0m00.86s | 364052 ko | Monad/Adjunction.vo                           
 0m00.85s | 352996 ko | Theory/Category/Raw.vo                        
 0m00.83s | 360612 ko | Instance/Cones.vo                             
 0m00.82s | 360876 ko | Instance/Fact.vo                              
 0m00.77s | 366136 ko | Theory/Coq/Tuple/Proofs.vo                    
 0m00.73s | 353060 ko | Construction/Groupoid.vo                      
 0m00.73s | 376236 ko | Instance/Lambda/Value.vo                      
 0m00.72s | 365116 ko | Theory/Coq/Functor/Proofs.vo                  
 0m00.68s | 356904 ko | Structure/Binoidal.vo                         
 0m00.68s | 365864 ko | Theory/Coq/Either/Proofs.vo                   
 0m00.67s | 365408 ko | Solver/Reify.vo                               
 0m00.65s | 365836 ko | Theory/Algebra.vo                             
 0m00.64s | 358520 ko | Instance/Sets/Cartesian.vo                    
 0m00.62s | 394948 ko | Theory/Coq/List.vo                            
 0m00.61s | 359600 ko | Structure/Cone.vo                             
 0m00.60s | 361344 ko | Functor/Structure/Cartesian.vo                
 0m00.60s | 414264 ko | Instance/Simplex/FinType.vo                   
 0m00.56s | 356588 ko | Functor/Coproduct.vo                          
 0m00.53s | 353284 ko | Lib/Datatypes.vo                              
 0m00.53s | 343912 ko | Theory/Coq.vo                                 
 0m00.52s | 386984 ko | Instance/Lambda/Multi.vo                      
 0m00.52s | 320752 ko | Structure/Monoidal/Traced.vo                  
 0m00.50s | 361996 ko | Instance/Props.vo                             
 0m00.49s | 409820 ko | Instance/Simplex/NaturalNumberArithmetic.vo   
 0m00.47s | 359144 ko | Theory/Naturality.vo                          
 0m00.46s | 356560 ko | Structure/Bicartesian.vo                      
 0m00.45s | 338304 ko | Structure/Limit/Terminal.vo                   
 0m00.44s | 402576 ko | Instance/Lambda/Example.vo                    
 0m00.44s | 362420 ko | Structure/Cone/Const.vo                       
 0m00.44s | 289564 ko | Structure/Monoidal.vo                         
 0m00.43s | 352124 ko | Construction/Opposite.vo                      
 0m00.43s | 229252 ko | Theory/Coq/Monad/Proofs.vo                    
 0m00.38s | 318632 ko | Instance/Coq/Monad.vo                         
 0m00.37s | 402428 ko | Instance/Simplex/DNat.vo                      
 0m00.36s | 295344 ko | Structure/Cone/Natural/Transformation.vo      
 0m00.35s | 385944 ko | Instance/Lambda/Sound.vo                      
 0m00.35s | 361712 ko | Lib/IList.vo                                  
 0m00.32s | 314104 ko | Adjunction/Natural/Transformation/Opposite.vo 
 0m00.32s | 387468 ko | Instance/Lambda/Log.vo                        
 0m00.32s | 362480 ko | Instance/Lambda/Ty.vo                         
 0m00.32s | 294032 ko | Instance/One.vo                               
 0m00.31s | 182352 ko | Structure/Monoidal/Balanced.vo                
 0m00.29s | 177024 ko | Instance/Coq/Applicative.vo                   
 0m00.29s | 158848 ko | Natural/Transformation/Applicative.vo         
 0m00.29s | 353132 ko | Theory/Category.vo                            
 0m00.28s | 166524 ko | Monad/Distributive.vo                         
 0m00.26s | 150368 ko | Natural/Transformation/Strong.vo              
 0m00.25s | 149260 ko | Structure/Monoidal/Commutative.vo             
 0m00.24s | 164732 ko | Functor/Applicative.vo                        
 0m00.24s | 145112 ko | Instance/Cones/Limit.vo                       
 0m00.24s | 185096 ko | Instance/One/Diagonal.vo                      
 0m00.24s | 168580 ko | Tools/Represented.vo                          
 0m00.23s | 140460 ko | Construction/Arrow.vo                         
 0m00.23s | 139752 ko | Structure/Complete.vo                         
 0m00.22s | 146612 ko | Functor/Representable.vo                      
 0m00.22s | 248660 ko | Structure/Monoidal/Semicartesian.vo           
 0m00.22s | 182472 ko | Structure/Wedge.vo                            
 0m00.22s | 144800 ko | Theory/Coq/Tuple.vo                           
 0m00.21s | 316492 ko | Instance/Zero.vo                              
 0m00.21s | 157920 ko | Natural/Transformation/Monoidal.vo            
 0m00.21s | 258816 ko | Structure/Monoidal/Semicocartesian.vo         
 0m00.20s | 140844 ko | Structure/Equalizer.vo                        
 0m00.19s | 171772 ko | Structure/Group.vo                            
 0m00.19s | 145372 ko | Structure/Limit.vo                            
 0m00.19s | 155888 ko | Theory/Monad.vo                               
 0m00.18s | 161900 ko | Adjunction/Opposite.vo                        
 0m00.18s | 241072 ko | Instance/Roof.vo                              
 0m00.18s | 147244 ko | Theory/Coq/Applicative.vo                     
 0m00.17s | 148052 ko | Natural/Transformation/Opposite.vo            
 0m00.17s | 152312 ko | Solver.vo                                     
 0m00.17s | 156372 ko | Theory/Bicategory.vo                          
 0m00.16s | 151004 ko | Adjunction/Natural/Transformation.vo          
 0m00.16s | 151048 ko | Functor/Opposite.vo                           
 0m00.16s | 141852 ko | Functor/Structure/Constant.vo                 
 0m00.16s | 185628 ko | Lib/Setoid.vo                                 
 0m00.16s | 128996 ko | Theory/Coq/Foldable.vo                        
 0m00.16s | 163292 ko | Theory/Dinatural.vo                           
 0m00.16s | 141652 ko | Theory/Sheaf.vo                               
 0m00.15s | 181804 ko | Structure/End.vo                              
 0m00.15s | 135688 ko | Structure/Initial.vo                          
 0m00.15s | 134172 ko | Structure/Terminal.vo                         
 0m00.15s | 144604 ko | Theory.vo                                     
 0m00.15s | 140700 ko | Theory/Coq/Either.vo                          
 0m00.15s | 142948 ko | Theory/Coq/Maybe.vo                           
 0m00.15s | 152184 ko | Theory/Coq/Monad.vo                           
 0m00.14s | 144020 ko | Functor/Structure/Terminal.vo                 
 0m00.14s | 130548 ko | Instance/Poset.vo                             
 0m00.14s | 140592 ko | Structure/Distributive.vo                     
 0m00.14s | 140836 ko | Structure/Pullback.vo                         
 0m00.13s | 148544 ko | Monad/Algebra.vo                              
 0m00.13s | 177372 ko | Solver/Denote.vo                              
 0m00.13s | 161256 ko | Solver/Expr.vo                                
 0m00.13s | 138916 ko | Structure/Monoidal/Semicartesian/Terminal.vo  
 0m00.12s | 126400 ko | Instance/Lambda/Ltac.vo                       
 0m00.12s | 164440 ko | Instance/Proset.vo                            
 0m00.12s | 129928 ko | Theory/Coq/Semigroup.vo                       
 0m00.11s | 128972 ko | Lib/Foundation.vo                             
 0m00.10s | 149264 ko | Instance/StrictCat.vo                         
 0m00.10s | 129640 ko | Structure/Constant.vo                         
 0m00.10s | 137940 ko | Theory/Category/Semi.vo                       
 0m00.10s | 139112 ko | Theory/Coq/Functor.vo                         
 0m00.09s | 126372 ko | Lib.vo                                        
 0m00.09s | 131984 ko | Theory/Coq/Traversable.vo                     
 0m00.08s | 130028 ko | Lib/Tactics.vo                                
 0m00.08s | 131888 ko | Structure/Discrete.vo                         
 0m00.03s | 126544 ko | Theory/Coq/Monoid.vo                          
